route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
114,S,114_79200_1_1_2,Marquardt,1,114.1
114,D,114_20400_2_1_1,Marquardt,1,114.1
114,D,114_22320_2_1_2,Marquardt,1,114.1
114,D,114_50100_2_1_1,Marquardt,1,114.1
114,D,114_63600_2_1_1,Marquardt,1,114.1
114,D,114_79200_2_1_1,Marquardt,1,114.1
114,D,114_24360_2_0_1,Irmes 2,0,114.0
114,D,114_25920_2_0_2,Irmes 2,0,114.0
114,D,114_54000_2_0_1,Irmes 2,0,114.0
114,D,114_67800_2_0_1,Irmes 2,0,114.0
114,D,114_83700_2_0_1,Irmes 2,0,114.0
2,LV,2_19200_0_1_8,Piata Cibin 3,1,2.1
2,LV,2_20040_0_1_1,Piata Cibin 3,1,2.1
2,LV,2_20760_0_1_2,Piata Cibin 3,1,2.1
2,LV,2_21240_0_1_3,Piata Cibin 3,1,2.1
2,LV,2_21660_0_1_4,Piata Cibin 3,1,2.1
2,LV,2_22260_0_1_5,Piata Cibin 3,1,2.1
2,LV,2_22860_0_1_6,Piata Cibin 3,1,2.1
2,LV,2_23340_0_1_8,Piata Cibin 3,1,2.1
2,LV,2_24060_0_1_1,Piata Cibin 3,1,2.1
2,LV,2_24720_0_1_2,Piata Cibin 3,1,2.1
2,LV,2_25320_0_1_3,Piata Cibin 3,1,2.1
2,LV,2_25920_0_1_4,Piata Cibin 3,1,2.1
2,LV,2_26400_0_1_5,Piata Cibin 3,1,2.1
2,LV,2_26700_0_1_6,Piata Cibin 3,1,2.1
2,LV,2_27000_0_1_7,Piata Cibin 3,1,2.1
2,LV,2_27300_0_1_8,Piata Cibin 3,1,2.1
2,LV,2_27780_0_1_1,Piata Cibin 3,1,2.1
